card_id,display_name,status,source_type,rarity,branch_tags,category,targeting_mode,cost,impact_factor,max_copies_in_deck,min_branch_mastery,required_talent_ids,required_equipment_tags,can_overlimit_carry,overlimit_penalty_profile,is_quick,exhausts_on_play,draw_count,energy_gain,damage,healing_amount,shield_gain,range,cycle_tags,learned_from_enemy_id,description,design_goal,balance_risk,art_brief,notes
card_strike_basic,基础斩击,prototype,starter,common,melee,Attack,EnemyUnit,1,1,2,0,,,true,default,false,false,0,0,4,0,0,1,,,"对 1 格内敌人造成 4 点伤害","定义近战基础输出基线","低","短兵器横斩 红色拖尾","标准起始牌"
card_guard_basic,稳守,prototype,starter,common,melee,Skill,None,1,1,2,0,,,true,default,false,false,0,0,0,0,4,0,,,"获得 4 点护盾","定义近战基础防御基线","低","架势下沉 蓝灰色护盾感","标准起始牌"
card_line_shot,线性射击,prototype,starter,common,ranged,Attack,StraightLineEnemy,1,1,2,0,,,true,default,false,false,0,0,4,0,0,3,,,"对直线首个敌人造成 4 点伤害","定义远程基础输出基线","低","细长枪口光线 细直弹道","标准起始牌"
card_field_patch,现场包扎,prototype,starter,common,flex,Skill,FriendlyUnit,1,1,2,0,,,true,default,false,false,0,0,0,3,0,2,,,"使 2 格内友方回复 3 点生命","提供最基础治疗与容错","低","简易医疗包 绿色提示光","标准功能牌"
card_ghost_step,幽步,prototype,talent,uncommon,flex,Skill,None,1,2,1,1,talent_flex_motion,,true,default,true,true,1,0,0,0,0,0,quick_cycle,, "抽 1 张牌 本回合下一次移动距离 +1","作为灵活分支的基础机动牌","中","残影步伐 蓝白位移拖影","Quick 但强制 Exhaust 防循环"
card_emergency_cell,应急电池,prototype,talent,uncommon,flex,Skill,None,0,3,1,1,talent_role_reserve,,false,none,false,true,0,1,0,0,0,0,energy_positive,, "获得 1 点能量","定义 0 费回能牌的安全做法","高","一次性电池 模块闪光","0 费回能必须 Exhaust"
card_anchor_stance,锚定架势,prototype,talent,uncommon,melee,Skill,None,1,2,1,1,talent_melee_guard,,true,default,false,false,0,0,0,0,6,0,,,"获得 6 点护盾 且本回合防御收益提高","强化近战站桩与反打节奏","中","沉重站姿 地面压痕","高盾值但不带循环"
card_ricochet_ping,跳弹试探,prototype,talent,uncommon,ranged,Attack,StraightLineEnemy,1,2,1,1,talent_ranged_pressure,,true,default,false,false,1,0,2,0,0,4,draw_positive,, "对直线首个敌人造成 2 点伤害并抽 1 张牌","定义远程中期调度牌","中","跳弹轨迹 多段折线光效","抽牌但不带 Quick"
card_learning_protocol,战斗记录,prototype,talent,rare,flex|cross,Skill,EnemyUnit,2,3,1,1,talent_learning_protocol,,false,none,false,true,0,0,0,0,0,1,,,"记录 1 格内可学习目标 若本场胜利则学会其特色卡牌","承载学习机制入口","高","扫描投影框 记录条目闪烁","学习机制核心卡"
card_pressure_breach,高压突进,prototype,learned,rare,melee|flex,Attack,EnemyUnit,2,4,1,2,,heavy_gear,true,default,false,false,0,0,7,0,2,1,signature,pirate_brute_elite,"对相邻敌人造成 7 点伤害 并获得 2 点护盾","演示精英学习牌的高压近战收益","高","重踏冲锋 电弧爆散","学习自精英敌人 可超规但代价明显"
card_hunter_mark,猎手标定,prototype,learned,rare,ranged,Skill,EnemyUnit,1,3,1,2,,,true,default,false,true,1,0,0,0,0,4,cycle|signature,alliance_hunter_elite,"标定 4 格内敌人并抽 1 张牌 下一次对其远程伤害提高","演示远程学习牌的高质量节奏收益","高","瞄准镜锁定 红点标记","抽牌收益存在 但 Exhaust 且单张上限 1"
card_overclock_beam,过载光束,prototype,learned,epic,ranged,Attack,StraightLineEnemy,3,4,1,2,talent_ranged_focus,,false,none,false,true,0,0,10,0,0,5,finisher,boss_port_authority,"对直线首个敌人造成 10 点伤害","演示 Boss 学习牌的高爆发终结定位","高","粗大热线 白蓝过载光柱","Boss 牌 不开放超规携带"
card_momentum_slice,顺势切开,prototype,talent,uncommon,melee|flex,Attack,EnemyUnit,1,2,1,1,talent_cross_close_quarters,,true,default,true,true,0,0,5,0,0,1,quick_cycle,, "对相邻敌人造成 5 点伤害","演示近战 Quick 牌的安全写法","中","短促突进后斩击","Quick 但 Exhaust 且同名上限 1"
card_salvage_focus,回收专注,prototype,shop,uncommon,flex,Skill,None,1,2,1,0,,,true,default,false,false,1,0,0,0,2,0,cycle,, "抽 1 张牌 并获得 2 点护盾","提供不返还能量的低风险调度","中","快速整理装备 绿色小护盾","可作为通用过渡牌"
